Game Title,Platform,Genre,Publisher,Release Year,NA Sales (M),EU Sales (M),JP Sales (M),Other Sales (M),Global Sales (M),Rating
Dark Warriors: Rebirth,PC,Puzzle,Sony,2009,2.55,2.65,1.13,4.89,11.22,M
Iron Raiders: Odyssey,Xbox One,Sports,EA,2020,2.0,2.02,3.46,4.77,12.25,AO
Dark Raiders: Eclipse,Xbox One,Puzzle,Ubisoft,2015,1.57,4.4,1.69,1.14,8.8,E10+
Shadow Raiders: Odyssey,PC,Shooter,Microsoft,2007,3.97,3.47,1.23,4.8,13.47,E
Dark Knights: Ascension,Nintendo Switch,Puzzle,Sony,2000,2.58,1.33,2.22,1.67,7.8,T
Dark Lords: Eclipse,PC,Strategy,Sony,2008,0.69,3.63,2.72,4.48,11.52,T
Super Mario Odyssey,PS5,Sports,Sony,2005,0.51,1.68,1.42,1.17,4.78,M
Shadow Warriors: Chronicles,Nintendo Switch,Shooter,Nintendo,2003,4.04,4.75,2.8,3.43,15.02,E10+
Galactic Legends: Ascension,PS4,Action,Nintendo,2017,4.35,2.82,3.72,2.43,13.32,E
Mystic Knights: Ascension,PS4,Action,Ubisoft,2013,1.73,3.44,0.66,3.3,9.13,E
Among Us,Xbox Series X,Sports,Ubisoft,2004,3.47,3.4,3.54,3.3,13.71,M
Horizon Forbidden West,PC,Shooter,Activision,2003,4.1,3.62,3.38,4.67,15.77,T
Shadow Raiders: Ascension,PS5,RPG,Activision,2004,1.18,3.49,4.18,3.92,12.77,E10+
Mystic Raiders: Rebirth,PS4,Strategy,Ubisoft,2019,3.76,2.37,3.76,3.97,13.86,T
The Sims,Xbox Series X,Strategy,EA,2012,3.68,2.3,4.21,3.76,13.95,AO
Dark Lords: Odyssey,Xbox One,Strategy,Activision,2008,3.06,1.1,0.25,4.11,8.52,E10+
Galactic Legends: Rebirth,PS4,Strategy,Nintendo,2007,2.36,3.88,0.37,3.25,9.86,T
Galactic Raiders: Eclipse,Xbox One,Puzzle,Sony,2013,4.3,3.56,0.65,1.23,9.74,AO
Mystic Lords: Eclipse,Nintendo Switch,Sports,Activision,2013,3.87,3.2,3.49,2.09,12.65,M
Splatoon 3,Xbox Series X,Puzzle,EA,2003,4.41,0.52,3.3,1.54,9.77,T
Shadow Lords: Rebirth,Xbox Series X,Sports,Ubisoft,2013,1.92,2.93,3.48,0.82,9.15,E
Shadow Raiders: Rebirth,PS4,Sports,EA,2016,4.62,3.9,4.39,3.86,16.77,E10+
Mystic Warriors: Eclipse,PS5,Puzzle,Capcom,2015,0.39,2.07,2.87,2.66,7.99,M
Shadow Lords: Chronicles,Nintendo Switch,RPG,Activision,2021,3.87,0.41,2.71,0.48,7.47,T
Iron Lords: Rebirth,Xbox One,RPG,EA,2022,4.13,3.02,4.29,4.99,16.43,E10+
Galactic Warriors: Chronicles,PS4,Action,Nintendo,2008,3.28,1.76,2.08,3.49,10.61,T
Iron Legends: Chronicles,PS5,Strategy,Ubisoft,2011,1.8,1.81,1.24,2.97,7.82,E
Shadow Warriors: Odyssey,Nintendo Switch,Strategy,Nintendo,2005,0.19,1.93,2.05,4.26,8.43,M
Shadow Warriors: Rebirth,PS4,Puzzle,Sony,2017,2.51,0.8,2.46,4.99,10.76,AO
Mystic Knights: Rebirth,Xbox One,Puzzle,Nintendo,2010,4.32,3.57,1.18,3.36,12.43,M
Shadow Legends: Ascension,Xbox One,Shooter,Ubisoft,2018,1.76,0.49,4.47,4.68,11.4,M
Shadow Knights: Ascension,PS5,Puzzle,Activision,2016,4.65,3.49,4.28,3.95,16.37,E
Shadow Lords: Ascension,PC,Puzzle,EA,2001,1.76,3.74,4.33,3.2,13.03,E
Halo Infinite,PC,Adventure,Nintendo,2019,3.01,2.83,3.08,0.94,9.86,AO
Iron Raiders: Rebirth,Nintendo Switch,Strategy,Sony,2021,4.6,3.53,3.73,3.98,15.84,M
Mystic Legends: Chronicles,PC,Shooter,Nintendo,2000,1.85,1.58,3.3,4.55,11.28,E
Cyberpunk 2077,Xbox Series X,Action,Sony,2007,3.48,1.22,0.17,1.54,6.41,AO
Iron Lords: Chronicles,Xbox Series X,Puzzle,Nintendo,2000,3.95,2.87,4.55,3.31,14.68,M
Iron Warriors: Eclipse,Xbox One,Shooter,EA,2015,3.5,4.93,1.08,2.97,12.48,AO
Dark Raiders: Chronicles,Xbox Series X,Adventure,Microsoft,2017,2.36,0.21,2.89,4.39,9.85,E10+
Shadow Knights: Rebirth,Xbox One,Puzzle,Activision,2007,2.11,2.97,1.41,2.45,8.94,M
Iron Warriors: Ascension,PS4,Adventure,EA,2014,3.32,2.1,2.45,2.0,9.87,E
Iron Raiders: Eclipse,Xbox Series X,Shooter,Activision,2005,2.97,4.44,3.03,0.48,10.92,E10+
Dark Raiders: Odyssey,PC,Shooter,Activision,2011,0.95,1.35,1.2,2.01,5.51,E10+
Galactic Raiders: Odyssey,Xbox One,Action,Microsoft,2015,1.83,2.84,2.65,3.4,10.72,E
Dark Warriors: Chronicles,Xbox Series X,Strategy,Capcom,2023,4.23,2.82,2.09,2.43,11.57,E10+
Iron Knights: Ascension,Xbox Series X,Sports,Ubisoft,2004,0.72,3.29,0.4,3.63,8.04,T
Dark Knights: Rebirth,Xbox Series X,Puzzle,Activision,2023,1.62,0.19,4.59,0.61,7.01,E10+
Animal Crossing,PC,Shooter,Activision,2022,4.29,4.53,2.23,3.34,14.39,M
Dark Warriors: Odyssey,PS5,Puzzle,Nintendo,2022,3.2,2.36,4.9,3.01,13.47,E10+
Dark Knights: Eclipse,Nintendo Switch,Shooter,Microsoft,2001,0.11,4.37,1.21,1.47,7.16,M
Iron Warriors: Chronicles,Nintendo Switch,Adventure,Ubisoft,2013,3.6,4.65,0.38,3.07,11.7,T
Galactic Lords: Odyssey,Xbox One,Puzzle,Nintendo,2020,3.98,3.17,3.72,3.98,14.85,E
Iron Lords: Ascension,Nintendo Switch,Puzzle,Activision,2022,0.15,0.99,1.09,4.9,7.13,E
Red Dead Redemption 2,Nintendo Switch,Adventure,Capcom,2019,0.87,0.72,0.53,2.12,4.24,M
Mystic Raiders: Eclipse,PC,Action,Activision,2005,0.34,4.07,0.64,4.56,9.61,T
Dark Legends: Chronicles,Xbox One,RPG,Ubisoft,2018,3.01,2.01,4.31,4.12,13.45,M
Galactic Warriors: Eclipse,PS4,Sports,Capcom,2001,4.33,4.95,1.61,0.84,11.73,E
Mystic Warriors: Rebirth,PS5,Adventure,Capcom,2021,4.84,2.51,0.66,3.03,11.04,T
Galactic Legends: Odyssey,PS5,Strategy,Ubisoft,2000,3.65,2.73,4.21,2.66,13.25,E
Shadow Knights: Chronicles,Nintendo Switch,Sports,Capcom,2013,4.56,1.15,2.51,4.7,12.92,T
Galactic Raiders: Rebirth,PS4,Sports,Activision,2000,4.7,3.63,3.52,2.63,14.48,AO
Iron Warriors: Odyssey,PC,RPG,Nintendo,2015,0.7,2.61,3.6,3.94,10.85,M
Iron Legends: Odyssey,Xbox One,Action,Ubisoft,2018,3.86,4.71,4.57,1.87,15.01,E
Galactic Raiders: Chronicles,Nintendo Switch,Adventure,EA,2001,0.29,1.63,1.57,3.12,6.61,AO
Galactic Lords: Rebirth,Xbox One,Adventure,Capcom,2003,3.08,1.39,2.15,1.91,8.53,M
Dark Legends: Odyssey,PC,Strategy,EA,2019,4.63,0.29,1.74,0.28,6.94,T
Mystic Legends: Ascension,Xbox Series X,Strategy,Activision,2011,3.84,1.41,3.17,2.39,10.81,E10+
Overwatch,Nintendo Switch,Action,Nintendo,2010,0.92,4.5,3.66,0.64,9.72,E10+
Mystic Warriors: Ascension,Nintendo Switch,Puzzle,Microsoft,2013,2.6,4.65,2.66,2.2,12.11,E
Shadow Lords: Eclipse,PS5,Adventure,Sony,2009,0.71,3.25,1.14,2.19,7.29,E10+
Iron Knights: Eclipse,Xbox One,Shooter,Nintendo,2021,0.94,3.41,4.97,3.23,12.55,E10+
Iron Knights: Chronicles,Xbox Series X,Strategy,Nintendo,2015,4.52,1.03,3.81,4.78,14.14,E10+
Call of Duty,PS5,Shooter,EA,2005,2.39,0.91,0.25,4.88,8.43,M
Galactic Lords: Chronicles,PS5,RPG,Microsoft,2019,2.51,2.81,2.64,2.61,10.57,M
Galactic Warriors: Odyssey,PC,Shooter,Sony,2018,2.15,2.71,2.78,2.42,10.06,M
Dark Legends: Rebirth,PC,Puzzle,Microsoft,2016,2.73,4.6,4.15,1.87,13.35,AO
Dark Legends: Ascension,PS5,Puzzle,Sony,2002,2.27,1.53,0.48,4.02,8.3,T
Resident Evil Village,Xbox Series X,Sports,Nintendo,2022,0.83,1.45,2.79,3.07,8.14,M
Dark Lords: Ascension,Xbox One,Action,Activision,2008,2.74,0.26,0.91,3.29,7.2,E
Shadow Knights: Eclipse,PC,Sports,Microsoft,2013,2.6,2.95,0.63,1.12,7.3,E
Mystic Lords: Rebirth,PS4,Sports,Nintendo,2017,3.84,1.55,0.28,3.08,8.75,E
Iron Knights: Rebirth,PS4,Action,EA,2008,3.46,1.05,0.75,4.13,9.39,E
Galactic Legends: Eclipse,PC,Sports,Capcom,2022,0.26,1.31,1.31,4.82,7.7,E10+
Galactic Legends: Chronicles,Xbox One,Puzzle,EA,2012,2.36,3.98,4.57,2.22,13.13,T
Galactic Knights: Ascension,Nintendo Switch,RPG,Nintendo,2005,1.81,0.25,1.9,0.47,4.43,AO
Mystic Knights: Chronicles,PS5,Puzzle,Sony,2014,2.52,1.96,4.29,4.33,13.1,AO
Street Fighter VI,Nintendo Switch,Shooter,Microsoft,2020,3.37,2.92,1.18,0.47,7.94,AO
Fortnite,PC,RPG,Capcom,2023,3.0,4.19,4.53,0.29,12.01,E
Shadow Knights: Odyssey,PS5,Adventure,Nintendo,2014,0.6,3.49,4.09,1.45,9.63,AO
Mystic Lords: Chronicles,Xbox One,RPG,Activision,2009,3.09,2.77,4.22,0.16,10.24,T
Pokemon Scarlet,Xbox One,Adventure,EA,2012,3.18,0.19,4.83,3.31,11.51,E
Dark Lords: Rebirth,Xbox Series X,Shooter,Capcom,2012,4.63,4.26,4.45,0.24,13.58,E10+
Dark Raiders: Ascension,PS4,Puzzle,Sony,2014,2.7,3.49,3.9,1.73,11.82,M
Shadow Legends: Odyssey,Nintendo Switch,Adventure,Ubisoft,2015,1.28,3.72,3.34,0.15,8.49,T
Shadow Legends: Eclipse,Xbox Series X,Strategy,Ubisoft,2022,2.2,3.13,1.57,2.87,9.77,AO
Iron Raiders: Chronicles,Xbox Series X,RPG,Sony,2014,2.59,2.57,1.42,2.88,9.46,E10+
Shadow Raiders: Chronicles,Nintendo Switch,Strategy,Nintendo,2001,0.35,1.86,4.61,4.69,11.51,M
Galactic Warriors: Rebirth,Xbox Series X,Adventure,Sony,2007,0.31,2.52,3.27,2.87,8.97,AO
Mystic Legends: Rebirth,PS5,Puzzle,Ubisoft,2018,0.3,1.9,2.9,3.37,8.47,T
Mystic Legends: Odyssey,PS5,Adventure,Capcom,2017,4.93,2.39,0.39,3.35,11.06,E
Galactic Lords: Eclipse,PC,Action,Sony,2009,2.31,2.28,4.77,1.58,10.94,AO
Iron Legends: Ascension,PC,Puzzle,Nintendo,2000,3.02,1.39,0.75,4.93,10.09,T
Iron Raiders: Ascension,Xbox Series X,Adventure,Activision,2010,1.55,4.55,1.39,0.24,7.73,E10+
Shadow Lords: Odyssey,PC,Puzzle,Microsoft,2014,3.44,3.74,3.03,4.57,14.78,T
Shadow Raiders: Eclipse,Xbox Series X,RPG,Capcom,2019,0.59,0.39,3.8,3.02,7.8,E
Dark Raiders: Rebirth,PS4,Puzzle,Ubisoft,2019,4.0,3.97,1.41,3.46,12.84,AO
Iron Legends: Rebirth,Xbox Series X,Sports,Ubisoft,2015,1.98,1.96,3.78,3.47,11.19,E
Galactic Lords: Ascension,Xbox One,RPG,Ubisoft,2011,1.73,3.29,4.42,2.26,11.7,E10+
Elden Ring,Xbox One,Adventure,Nintendo,2021,4.95,2.29,1.37,3.4,12.01,M
Grand Theft Auto V,Nintendo Switch,RPG,Activision,2003,2.48,3.31,1.43,1.83,9.05,E
Shadow Legends: Rebirth,PS5,Adventure,Capcom,2023,4.25,2.74,2.77,4.23,13.99,E
Shadow Warriors: Ascension,PS5,Strategy,Capcom,2012,1.61,2.13,3.78,1.54,9.06,E
Galactic Raiders: Ascension,Xbox Series X,Action,Capcom,2010,1.4,4.95,2.22,0.28,8.85,E
Galactic Knights: Eclipse,PS4,Puzzle,Microsoft,2006,1.16,1.15,3.08,2.07,7.46,T
Dark Knights: Odyssey,Xbox One,Strategy,Nintendo,2010,1.53,1.54,4.85,1.81,9.73,T
Iron Lords: Eclipse,PS5,Strategy,Ubisoft,2008,2.19,4.68,2.79,0.56,10.22,AO
Galactic Knights: Odyssey,Xbox Series X,Puzzle,Ubisoft,2004,1.12,3.61,3.19,0.44,8.36,T
Mystic Knights: Odyssey,Xbox Series X,Action,Sony,2021,0.3,1.27,2.04,1.77,5.38,T
Mystic Knights: Eclipse,Xbox Series X,Strategy,Capcom,2005,2.04,2.07,1.77,1.75,7.63,M
Mystic Raiders: Ascension,PS4,Strategy,EA,2002,1.63,0.46,0.78,4.33,7.2,T
Galactic Warriors: Ascension,Nintendo Switch,Puzzle,EA,2009,0.57,3.03,3.68,2.68,9.96,E10+
Iron Legends: Eclipse,Xbox Series X,Sports,Activision,2017,1.52,2.56,3.63,2.46,10.17,M
Mystic Raiders: Odyssey,PS5,Puzzle,Capcom,2010,1.14,3.1,1.54,2.91,8.69,E
Iron Warriors: Rebirth,PS5,Adventure,EA,2014,4.92,2.33,4.01,4.66,15.92,E
Mystic Warriors: Odyssey,Xbox Series X,Adventure,Ubisoft,2010,2.21,2.59,1.97,2.48,9.25,E10+
Assassin's Creed Valhalla,Xbox Series X,RPG,Activision,2020,3.04,4.62,4.31,2.91,14.88,E
Mystic Lords: Ascension,Xbox One,Shooter,EA,2006,3.14,3.73,0.51,2.74,10.12,M
Galactic Knights: Rebirth,Xbox Series X,Action,Sony,2009,1.21,3.88,3.95,0.61,9.65,AO
Iron Knights: Odyssey,PS4,Adventure,EA,2009,4.86,3.69,2.35,0.5,11.4,E10+
Dark Warriors: Ascension,Xbox Series X,RPG,Activision,2007,3.37,3.84,4.52,2.62,14.35,T
Iron Lords: Odyssey,Xbox One,RPG,Activision,2004,0.8,4.17,1.34,1.56,7.87,E
Shadow Legends: Chronicles,Xbox One,Action,Ubisoft,2010,3.8,4.7,1.1,0.88,10.48,M
Mystic Legends: Eclipse,Nintendo Switch,RPG,Sony,2018,4.94,3.73,3.77,3.54,15.98,M
Shadow Warriors: Eclipse,PC,Shooter,EA,2005,0.76,2.33,3.46,2.63,9.18,E10+
Galactic Knights: Chronicles,PC,Sports,Microsoft,2007,0.46,1.62,1.15,1.1,4.33,E
God of War,PS4,Strategy,EA,2003,2.52,2.71,3.39,4.34,12.96,M
Minecraft,Xbox One,Puzzle,Ubisoft,2001,4.35,4.09,4.69,3.34,16.47,M
The Legend of Zelda,PC,Action,Ubisoft,2009,3.67,4.41,4.21,3.64,15.93,E10+
Mystic Lords: Odyssey,PC,Sports,Capcom,2018,3.69,3.46,4.75,4.29,16.19,AO
Dark Legends: Eclipse,Xbox One,RPG,Ubisoft,2010,3.48,0.23,2.99,4.64,11.34,T
Mystic Warriors: Chronicles,PC,Action,EA,2005,0.21,1.66,1.27,2.77,5.91,T
Mystic Raiders: Chronicles,PS4,Sports,Ubisoft,2022,1.34,3.01,4.12,4.28,12.75,E
Dark Lords: Chronicles,PS4,Puzzle,Ubisoft,2018,2.91,3.92,3.15,1.33,11.31,AO
Dark Warriors: Eclipse,Xbox Series X,RPG,Ubisoft,2008,0.94,3.45,2.48,0.12,6.99,AO
Dark Knights: Chronicles,Nintendo Switch,Adventure,Sony,2008,4.36,4.67,3.8,3.82,16.65,M
Dark Warriors: Rebirth,Xbox Series X,Adventure,Sony,2006,3.46,4.78,1.39,1.38,11.01,E10+
Iron Raiders: Odyssey,PC,Shooter,Sony,2007,4.36,1.27,4.76,3.78,14.17,E
Dark Raiders: Eclipse,PC,Action,Sony,2015,3.52,1.95,0.33,3.57,9.37,E
Shadow Raiders: Odyssey,PS4,Shooter,Activision,2019,3.39,4.67,1.25,0.26,9.57,M
Dark Knights: Ascension,PS5,Action,Activision,2011,4.22,4.6,4.94,3.75,17.51,T
Dark Lords: Eclipse,Xbox Series X,Strategy,Microsoft,2002,2.44,0.18,3.37,4.92,10.91,E10+
Super Mario Odyssey,PC,Strategy,Sony,2009,3.14,4.97,2.67,1.81,12.59,M
Shadow Warriors: Chronicles,Xbox One,Adventure,Sony,2002,4.8,0.76,3.43,3.36,12.35,E
Galactic Legends: Ascension,Xbox One,Action,Ubisoft,2021,3.59,2.07,2.89,3.52,12.07,M
Mystic Knights: Ascension,PC,Shooter,Activision,2021,1.39,3.25,4.52,1.65,10.81,AO
Among Us,Xbox One,Strategy,Capcom,2018,4.49,4.43,4.14,0.62,13.68,T
Horizon Forbidden West,Xbox One,RPG,Capcom,2006,4.26,1.8,2.95,1.06,10.07,T
Shadow Raiders: Ascension,PC,RPG,Capcom,2013,0.87,2.09,0.57,3.91,7.44,E
Mystic Raiders: Rebirth,Xbox Series X,Adventure,Microsoft,2014,0.45,2.12,2.17,4.84,9.58,E
The Sims,PS4,RPG,Activision,2000,2.56,2.75,3.62,1.52,10.45,T
Dark Lords: Odyssey,Xbox Series X,RPG,Nintendo,2008,3.35,3.2,1.03,2.85,10.43,E10+
Galactic Legends: Rebirth,Nintendo Switch,RPG,Ubisoft,2015,4.36,4.53,0.2,0.42,9.51,AO
Galactic Raiders: Eclipse,PS5,Action,Microsoft,2019,0.26,3.75,1.05,2.65,7.71,E10+
Mystic Lords: Eclipse,Nintendo Switch,RPG,Ubisoft,2001,0.55,1.46,3.83,0.93,6.77,E
Splatoon 3,Nintendo Switch,Sports,Microsoft,2021,1.05,3.44,4.85,2.7,12.04,E10+
Shadow Lords: Rebirth,Nintendo Switch,Adventure,Nintendo,2020,2.82,1.06,0.2,3.16,7.24,T
Shadow Raiders: Rebirth,PS4,Shooter,Microsoft,2019,1.43,1.83,4.94,4.49,12.69,M
Mystic Warriors: Eclipse,Nintendo Switch,Shooter,EA,2009,3.26,3.43,0.75,0.92,8.36,E
Shadow Lords: Chronicles,Nintendo Switch,Adventure,Capcom,2004,3.81,1.97,2.14,2.94,10.86,E10+
Iron Lords: Rebirth,Xbox One,Adventure,Nintendo,2010,1.57,0.52,4.3,0.45,6.84,M
Galactic Warriors: Chronicles,PC,Puzzle,Capcom,2001,2.04,2.74,4.5,2.06,11.34,AO
Iron Legends: Chronicles,PS4,Shooter,Capcom,2018,0.88,1.49,1.66,2.86,6.89,T
Shadow Warriors: Odyssey,Xbox Series X,Puzzle,Nintendo,2002,4.59,2.17,3.54,3.19,13.49,T
Shadow Warriors: Rebirth,Xbox One,Adventure,Activision,2014,0.88,0.18,1.74,1.55,4.35,AO
Mystic Knights: Rebirth,Xbox Series X,Action,Sony,2002,0.22,3.41,2.66,3.89,10.18,AO
Shadow Legends: Ascension,PS4,Puzzle,Ubisoft,2008,4.25,0.64,2.97,2.64,10.5,M
Shadow Knights: Ascension,Xbox Series X,Puzzle,Ubisoft,2013,2.61,1.28,3.61,4.99,12.49,E
Shadow Lords: Ascension,PC,Shooter,Sony,2023,4.89,4.19,4.88,2.6,16.56,T
Halo Infinite,PS5,Sports,Sony,2010,3.81,2.56,1.56,2.72,10.65,E10+
Iron Raiders: Rebirth,Xbox One,Action,EA,2019,2.23,2.57,0.45,0.57,5.82,E10+
Mystic Legends: Chronicles,PS5,Strategy,Capcom,2003,3.38,4.62,0.56,0.6,9.16,E10+
Cyberpunk 2077,Xbox Series X,Action,Nintendo,2007,1.08,3.46,4.78,2.17,11.49,M
Iron Lords: Chronicles,Xbox Series X,Strategy,Capcom,2022,3.58,4.13,3.79,2.37,13.87,T
Iron Warriors: Eclipse,Xbox One,Puzzle,Activision,2009,3.93,2.79,0.64,2.22,9.58,M
Dark Raiders: Chronicles,Xbox Series X,Action,Activision,2004,0.36,4.5,1.34,3.11,9.31,T
Shadow Knights: Rebirth,PS4,Sports,EA,2014,3.86,2.56,3.68,4.97,15.07,AO
Iron Warriors: Ascension,PS5,Puzzle,Capcom,2005,4.41,3.2,2.88,2.49,12.98,E10+
Iron Raiders: Eclipse,Xbox Series X,Strategy,Microsoft,2009,3.51,3.97,1.93,2.45,11.86,AO
Dark Raiders: Odyssey,Xbox Series X,Strategy,Nintendo,2002,1.97,1.47,3.6,2.35,9.39,E
Galactic Raiders: Odyssey,PC,RPG,Capcom,2018,4.39,2.09,2.2,4.02,12.7,E
Dark Warriors: Chronicles,Nintendo Switch,Shooter,Sony,2012,2.61,0.34,1.59,0.99,5.53,T
Iron Knights: Ascension,PS5,Action,Sony,2010,4.77,3.77,3.46,4.02,16.02,M
Dark Knights: Rebirth,Nintendo Switch,RPG,EA,2009,0.48,3.12,3.37,0.94,7.91,AO
Animal Crossing,PC,Action,Microsoft,2022,3.73,2.95,1.16,1.06,8.9,M
Dark Warriors: Odyssey,PS4,Puzzle,Ubisoft,2010,2.4,3.88,3.02,0.31,9.61,E10+
Dark Knights: Eclipse,Nintendo Switch,Action,Ubisoft,2009,2.18,4.57,2.93,2.26,11.94,M
Iron Warriors: Chronicles,PS5,Action,Ubisoft,2017,2.96,1.6,4.2,0.4,9.16,E
Galactic Lords: Odyssey,PS4,Adventure,Activision,2009,3.82,4.69,0.16,2.71,11.38,T
Iron Lords: Ascension,PS4,Puzzle,Capcom,2008,3.27,4.98,4.06,2.8,15.11,E10+
Red Dead Redemption 2,Nintendo Switch,Strategy,EA,2001,0.72,4.25,4.28,4.42,13.67,E10+
Mystic Raiders: Eclipse,Nintendo Switch,Sports,Sony,2000,2.76,4.62,2.87,2.08,12.33,T
Dark Legends: Chronicles,Nintendo Switch,Strategy,Nintendo,2006,0.3,2.07,3.17,4.04,9.58,M
Galactic Warriors: Eclipse,Xbox Series X,Action,Ubisoft,2014,1.91,2.01,0.15,1.6,5.67,T
Mystic Warriors: Rebirth,PS5,Sports,Microsoft,2014,2.95,1.46,0.21,3.81,8.43,M
Galactic Legends: Odyssey,PS5,Action,Ubisoft,2014,2.84,2.0,2.38,1.7,8.92,AO
Shadow Knights: Chronicles,Xbox One,Sports,Microsoft,2003,1.99,2.74,3.21,4.16,12.1,M
Galactic Raiders: Rebirth,PC,Sports,Sony,2000,0.35,3.53,1.26,1.98,7.12,AO
Iron Warriors: Odyssey,PS5,Sports,EA,2009,2.77,1.83,3.95,2.23,10.78,E10+
Iron Legends: Odyssey,PS4,Sports,Sony,2020,4.91,0.8,1.98,4.71,12.4,E
Galactic Raiders: Chronicles,Nintendo Switch,Sports,Activision,2021,3.99,4.2,3.41,2.71,14.31,M
Galactic Lords: Rebirth,PS5,Adventure,Activision,2003,3.87,2.85,2.94,2.55,12.21,M
Dark Legends: Odyssey,Xbox Series X,RPG,Ubisoft,2022,2.54,1.1,2.66,4.31,10.61,E10+
Mystic Legends: Ascension,PC,Puzzle,Microsoft,2015,3.67,2.59,2.57,4.08,12.91,M
Overwatch,PS5,RPG,Nintendo,2017,3.34,3.54,3.98,3.25,14.11,E
Mystic Warriors: Ascension,PS5,RPG,EA,2010,0.36,1.61,0.91,2.82,5.7,E
Shadow Lords: Eclipse,Xbox One,Adventure,Microsoft,2019,1.87,2.48,3.4,3.01,10.76,T
Iron Knights: Eclipse,Xbox Series X,Action,Microsoft,2021,0.12,0.38,4.55,1.57,6.62,E10+
Iron Knights: Chronicles,Nintendo Switch,Adventure,Sony,2000,4.49,2.28,2.71,3.89,13.37,T
Call of Duty,PC,Puzzle,Activision,2004,0.12,4.18,1.06,4.17,9.53,M
Galactic Lords: Chronicles,Xbox One,Sports,Nintendo,2023,3.41,4.44,3.96,0.48,12.29,M
Galactic Warriors: Odyssey,PS5,Action,EA,2011,3.71,1.4,2.29,3.62,11.02,T
Dark Legends: Rebirth,PS5,Puzzle,Ubisoft,2011,0.15,0.19,1.17,4.24,5.75,E10+
Dark Legends: Ascension,Xbox Series X,Sports,Activision,2004,3.08,4.8,1.82,0.8,10.5,T
Resident Evil Village,PC,Shooter,Activision,2004,1.69,1.55,3.12,4.42,10.78,M
Dark Lords: Ascension,PS4,RPG,Capcom,2003,0.83,0.38,2.79,2.68,6.68,M
Shadow Knights: Eclipse,Nintendo Switch,Puzzle,EA,2012,2.38,4.11,4.55,0.27,11.31,E10+
Mystic Lords: Rebirth,PS5,Sports,Activision,2022,2.61,3.88,0.73,1.91,9.13,E
Iron Knights: Rebirth,PS5,Adventure,Capcom,2019,2.91,1.47,2.52,2.51,9.41,M
Galactic Legends: Eclipse,PS5,Adventure,Nintendo,2021,3.04,0.82,4.91,4.3,13.07,T
Galactic Legends: Chronicles,PS4,Puzzle,EA,2013,1.43,3.09,0.55,2.85,7.92,E
Galactic Knights: Ascension,Nintendo Switch,Strategy,Sony,2002,4.76,2.84,0.8,1.17,9.57,E10+
Mystic Knights: Chronicles,Xbox Series X,RPG,EA,2012,1.07,3.98,3.72,1.19,9.96,E
Street Fighter VI,Xbox One,Strategy,EA,2023,1.69,3.65,3.04,4.77,13.15,M
Fortnite,PC,Shooter,Microsoft,2006,4.32,1.73,0.66,4.66,11.37,AO
Shadow Knights: Odyssey,PS5,Shooter,Sony,2022,3.09,3.6,4.09,0.56,11.34,AO
Mystic Lords: Chronicles,Xbox Series X,Action,EA,2021,2.35,1.17,1.41,4.46,9.39,AO
Pokemon Scarlet,PS4,Action,Microsoft,2018,4.07,0.13,2.23,4.26,10.69,E
Dark Lords: Rebirth,PS4,Adventure,Sony,2006,1.07,3.53,0.37,3.67,8.64,T
Dark Raiders: Ascension,PS4,RPG,Capcom,2009,2.01,0.45,4.78,0.49,7.73,AO
Shadow Legends: Odyssey,PS5,RPG,Microsoft,2000,2.22,1.52,1.48,0.12,5.34,T
Shadow Legends: Eclipse,Nintendo Switch,RPG,Ubisoft,2014,1.66,3.74,3.96,0.76,10.12,E10+
Iron Raiders: Chronicles,PS4,Sports,Activision,2008,2.89,0.47,4.71,4.58,12.65,E
Shadow Raiders: Chronicles,Xbox One,RPG,Sony,2007,0.36,1.85,3.79,3.78,9.78,M
Galactic Warriors: Rebirth,PS4,Adventure,Activision,2008,0.33,0.55,4.2,3.64,8.72,AO
Mystic Legends: Rebirth,Nintendo Switch,Puzzle,Ubisoft,2011,0.67,3.84,4.83,0.18,9.52,T
Mystic Legends: Odyssey,PC,Shooter,Activision,2019,0.46,4.77,0.44,4.76,10.43,M
Galactic Lords: Eclipse,Xbox One,Action,Nintendo,2010,2.26,4.71,0.96,3.29,11.22,T
Iron Legends: Ascension,PS5,Action,Ubisoft,2017,0.55,3.03,2.75,2.77,9.1,M
Iron Raiders: Ascension,Xbox Series X,Strategy,EA,2020,1.56,4.17,2.47,2.26,10.46,E10+
Shadow Lords: Odyssey,PS5,Strategy,EA,2007,3.32,2.13,2.59,4.76,12.8,M
Shadow Raiders: Eclipse,PS4,Puzzle,Ubisoft,2011,0.64,2.38,4.68,1.86,9.56,E
Dark Raiders: Rebirth,Nintendo Switch,Adventure,Ubisoft,2023,3.33,1.42,4.13,3.81,12.69,T
Iron Legends: Rebirth,Nintendo Switch,Action,Ubisoft,2012,3.46,1.01,4.27,2.73,11.47,AO
Galactic Lords: Ascension,Nintendo Switch,RPG,Ubisoft,2022,4.62,3.12,4.49,4.17,16.4,E10+
Elden Ring,PC,Action,EA,2004,3.94,1.75,2.73,1.69,10.11,AO
Grand Theft Auto V,Nintendo Switch,Shooter,EA,2004,1.38,0.33,3.13,1.45,6.29,M
Shadow Legends: Rebirth,Nintendo Switch,Puzzle,Nintendo,2017,3.47,0.88,2.57,0.44,7.36,E
